"National
Dex","Pokemon
Name",HP,Attack,Defense,"Special
Attack","Special
Defense",Speed,Total,Ability I,Ability II,Hidden Ability,Weight (kg),Height (m),Pokedex Color,Egg Group I,Egg Group II,Type I,Type II,Pokedex Desc
351,Castform (Normal),70,70,70,70,70,70,420,Forecast,,,0.8,0.3,Gray,Fairy,Amorphous,Normal,,
351.1,Castform (Rainy),70,70,70,70,70,70,420,Forecast,,,0.8,0.3,Blue,Fairy,Amorphous,Water,,
351.2,Castform (Snowy),70,70,70,70,70,70,420,Forecast,,,0.8,0.3,White,Fairy,Amorphous,Ice,,
351.3,Castform (Sunny),70,70,70,70,70,70,420,Forecast,,,0.8,0.3,Red,Fairy,Amorphous,Fire,,
352,Kecleon,60,90,70,60,120,40,440,Color Change,,,22,1,Green,Field,,Normal,,
353,Shuppet,44,75,35,63,33,45,295,Insomnia,Frisk,Cursed Body,2.3,0.6,Black,Amorphous,,Ghost,,
354,Banette,64,115,65,83,63,65,455,Insomnia,Frisk,Cursed Body,12.5,1.1,Black,Amorphous,,Ghost,,
354.1,Banette (Mega),64,165,75,93,83,75,555,Prankster,,,13,1.2,Black,Amorphous,,Ghost,,
355,Duskull,20,40,90,30,90,25,295,Levitate,,,15,0.8,Black,Amorphous,,Ghost,,
356,Dusclops,40,70,130,60,130,25,455,Pressure,,,30.6,1.6,Black,Amorphous,,Ghost,,
357,Tropius,99,68,83,72,87,51,460,Chlorophyll,Solar Power,Harvest,100,2,Green,Monster,Grass,Grass,Flying,
358,Chimecho,75,50,89,95,90,65,464,Levitate,,,1,0.6,Blue,Amorphous,,Psychic,,
359,Absol,65,130,60,75,60,75,465,Pressure,Super Luck,Justified,47,1.2,White,Field,,Dark,,
359.1,Absol (Mega),65,150,60,115,60,115,565,Magic Bounce,,,49,1.2,White,Field,,Dark,,
360,Wynaut,95,23,48,23,48,23,260,Shadow Tag,,Telepathy,14,0.6,Blue,Undiscovered,,Psychic,,
361,Snorunt,50,50,50,50,50,50,300,Inner Focus,Ice Body,Moody,16.8,0.7,Gray,Fairy,Mineral,Ice,,
362,Glalie,80,80,80,80,80,80,480,Inner Focus,Ice Body,Moody,256.5,1.5,Gray,Fairy,Mineral,Ice,,
362.1,Glalie (Mega),80,120,80,120,80,100,580,Refrigerate,,,350.2,2.1,Gray,Fairy,Mineral,Ice,,
363,Spheal,70,40,50,55,50,25,290,Thick Fat,Ice Body,Oblivious,39.5,0.8,Blue,Water 1,Field,Ice,Water,
364,Sealeo,90,60,70,75,70,45,410,Thick Fat,Ice Body,Oblivious,87.6,1.1,Blue,Water 1,Field,Ice,Water,
365,Walrein,110,80,90,95,90,65,530,Thick Fat,Ice Body,Oblivious,150.6,1.4,Blue,Water 1,Field,Ice,Water,
366,Clamperl,35,64,85,74,55,32,345,Shell Armor,,Rattled,52.5,0.4,Blue,Water 1,,Water,,
367,Huntail,55,104,105,94,75,52,485,Swift Swim,,Water Veil,27,1.7,Blue,Water 1,,Water,,
368,Gorebyss,55,84,105,114,75,52,485,Swift Swim,,Hydration,22.6,1.8,Pink,Water 1,,Water,,
369,Relicanth,100,90,130,45,65,55,485,Swift Swim,Rock Head,Sturdy,23.4,1,Gray,Water 1,Water 2,Water,Rock,
370,Luvdisc,43,30,55,40,65,97,330,Swift Swim,,Hydration,8.7,0.6,Pink,Water 2,,Water,,
371,Bagon,45,75,60,40,30,50,300,Rock Head,,Sheer Force,42.1,0.6,Blue,Dragon,,Dragon,,
372,Shelgon,65,95,100,60,50,50,420,Rock Head,,Overcoat,110.5,1.1,White,Dragon,,Dragon,,
373,Salamence,95,135,80,110,80,100,600,Intimidate,,Moxie,102.6,1.5,Blue,Dragon,,Dragon,Flying,
373.1,Salamence (Mega),95,145,130,120,90,120,700,Aerilate,,,112.6,1.8,Blue,Dragon,,Dragon,Flying,
374,Beldum,40,55,80,35,60,30,300,Clear Body,,Light Metal,95.2,0.6,Blue,Mineral,,Steel,Psychic,
375,Metang,60,75,100,55,80,50,420,Clear Body,,Light Metal,202.5,1.2,Blue,Mineral,,Steel,Psychic,
376,Metagross,80,135,130,95,90,70,600,Clear Body,,Light Metal,550,1.6,Blue,Mineral,,Steel,Psychic,
376.1,Metagross (Mega),80,145,150,105,110,110,700,Tough Claws,,,942.9,2.5,Blue,Mineral,,Steel,Psychic,
377,Regirock,80,100,200,50,100,50,580,Clear Body,,Sturdy,230,1.7,Brown,Undiscovered,,Rock,,
378,Regice,80,50,100,100,200,50,580,Clear Body,,Ice Body,175,1.8,Blue,Undiscovered,,Ice,,
379,Registeel,80,75,150,75,150,50,580,Clear Body,,Light Metal,205,1.9,Gray,Undiscovered,,Steel,,
380,Latias,80,80,90,110,130,110,600,Levitate,,,40,1.4,Red,Undiscovered,,Dragon,Psychic,
380.1,Latias,80,100,120,140,150,110,700,Levitate,,,40,1.4,Purple,Undiscovered,,Dragon,Psychic,
381,Latios,80,90,80,130,110,110,600,Levitate,,,60,2,Blue,Undiscovered,,Dragon,Psychic,
381.1,Latios,80,130,100,160,120,110,700,Levitate,,,60,2,Purple,Undiscovered,,Dragon,Psychic,
382,Kyogre,100,100,90,150,140,90,670,Drizzle,,,352,4.5,Blue,Undiscovered,,Water,,
382.1,Kyogre (Primal),100,150,90,180,160,90,770,Primordial Sea,,,430,9.8,Blue,Undiscovered,,Water,,
383,Groudon,100,150,140,100,90,90,670,Drought,,,950,3.5,Red,Undiscovered,,Ground,,
383.1,Groudon (Primal),100,180,160,150,90,90,770,Desolate Land,,,999.7,5,Red,Undiscovered,,Ground,Fire,
384,Rayquaza,105,150,90,150,90,95,680,Air Lock,,,206.5,7,Green,Undiscovered,,Dragon,Flying,
384.1,Rayquaza,105,180,100,180,100,115,780,Delta Stream,,,206.5,7,Green,Undiscovered,,Dragon,Flying,
385,Jirachi,100,100,100,100,100,100,600,Serene Grace,,,1.1,0.3,Yellow,Undiscovered,,Steel,Psychic,
386,Deoxys (Normal),50,150,50,150,50,150,600,Pressure,,,60.8,1.7,Red,Undiscovered,,Psychic,,
386.1,Deoxys (Attack),50,180,20,180,20,150,600,Pressure,,,60.8,1.7,Red,Undiscovered,,Psychic,,
386.2,Deoxys (Defense),50,70,160,70,160,90,600,Pressure,,,60.8,1.7,Red,Undiscovered,,Psychic,,
386.3,Deoxys (Speed),50,95,90,95,90,180,600,Pressure,,,60.8,1.7,Red,Undiscovered,,Psychic,,
387,Turtwig,55,68,64,45,55,31,318,Overgrow,,Shell Armor,10.2,0.4,Green,Monster,Grass,Grass,,
388,Grotle,75,89,85,55,65,36,405,Overgrow,,Shell Armor,97,1.1,Green,Monster,Grass,Grass,,
389,Torterra,95,109,105,75,85,56,525,Overgrow,,Shell Armor,310,2.2,Green,Monster,Grass,Grass,Ground,
390,Chimchar,44,58,44,58,44,61,309,Blaze,,Iron Fist,6.2,0.5,Brown,Field,Human-Like,Fire,,
391,Monferno,64,78,52,78,52,81,405,Blaze,,Iron Fist,22,0.9,Brown,Field,Human-Like,Fire,Fighting,
392,Infernape,76,104,71,104,71,108,534,Blaze,,Iron Fist,55,1.2,Brown,Field,Human-Like,Fire,Fighting,
393,Piplup,53,51,53,61,56,40,314,Torrent,,Defiant,5.2,0.4,Blue,Water 1,Field,Water,,
394,Prinplup,64,66,68,81,76,50,405,Torrent,,Defiant,23,0.8,Blue,Water 1,Field,Water,,
395,Empoleon,84,86,88,111,101,60,530,Torrent,,Defiant,84.5,1.7,Blue,Water 1,Field,Water,Steel,
396,Starly,40,55,30,30,30,60,245,Keen Eye,,,2,0.3,Brown,Flying,,Normal,Flying,
397,Staravia,55,75,50,40,40,80,340,Intimidate,,Reckless,15.5,0.6,Brown,Flying,,Normal,Flying,
398,Staraptor,85,120,70,50,60,100,485,Intimidate,,Reckless,24.9,1.2,Brown,Flying,,Normal,Flying,
399,Bidoof,59,45,40,35,40,31,250,Simple,Unaware,Moody,20,0.5,Brown,Water 1,Field,Normal,,
400,Bibarel,79,85,60,60,71,55,410,Simple,Unaware,Moody,31.5,1,Brown,Water 1,Field,Normal,Water,
401,Kricketot,37,25,41,25,41,25,194,Shed Skin,,Run Away,2.2,0.3,Red,Bug,,Bug,,
402,Kricketune,77,85,51,55,51,65,384,Swarm,,Technician,25.5,1,Red,Bug,,Bug,,
403,Shinx,45,65,34,40,34,45,263,Rivalry,Intimidate,Guts,9.5,0.5,Blue,Field,,Electric,,
404,Luxio,60,85,49,60,49,60,363,Rivalry,Intimidate,Guts,30.5,0.9,Blue,Field,,Electric,,
405,Luxray,80,120,79,95,79,70,523,Rivalry,Intimidate,Guts,42,1.4,Blue,Field,,Electric,,
406,Budew,40,30,35,50,70,55,280,Natural Cure,Poison Point,Leaf Guard,1.2,0.2,Green,Undiscovered,,Grass,Poison,
407,Roserade,60,70,65,125,105,90,515,Natural Cure,Poison Point,Technician,14.5,0.9,Green,Fairy,Grass,Grass,Poison,
408,Cranidos,67,125,40,30,30,58,350,Mold Breaker,,Sheer Force,31.5,0.9,Blue,Monster,,Rock,,
409,Rampardos,97,165,60,65,50,58,495,Mold Breaker,,Sheer Force,102.5,1.6,Blue,Monster,,Rock,,
410,Shieldon,30,42,118,42,88,30,350,Sturdy,,Soundproof,57,0.5,Gray,Monster,,Rock,Steel,
411,Bastiodon,60,52,168,47,138,30,495,Sturdy,,Soundproof,149.5,1.3,Gray,Monster,,Rock,Steel,
412,Burmy (Plant),40,29,45,29,45,36,224,Shed Skin,,Overcoat,3.4,0.2,Green,Bug,,Bug,,
412.1,Burmy (Sandy),40,29,45,29,45,36,224,Shed Skin,,Overcoat,3.4,0.2,Brown,Bug,,Bug,,
412.2,Burmy (Trash),40,29,45,29,45,36,224,Shed Skin,,Overcoat,3.4,0.2,Red,Bug,,Bug,,
413,Wormadam (Plant),60,59,85,79,105,36,424,Anticipation,,Overcoat,6.5,0.5,Green,Bug,,Bug,Grass,
413.1,Wormadam (Sandy),60,79,105,59,85,36,424,Anticipation,,Overcoat,6.5,0.5,Brown,Bug,,Bug,Ground,
413.2,Wormadam (Trash),60,69,95,69,95,36,424,Anticipation,,Overcoat,6.5,0.5,Red,Bug,,Bug,Steel,
414,Mothim,70,94,50,94,50,66,424,Swarm,,Tinted Lens,23.3,0.9,Yellow,Bug,,Bug,Flying,
415,Combee,30,30,42,30,42,70,244,Honey Gather,,Hustle,5.5,0.3,Yellow,Bug,,Bug,Flying,
416,Vespiquen,70,80,102,80,102,40,474,Pressure,,Unnerve,38.5,1.2,Yellow,Bug,,Bug,Flying,
417,Pachirisu,60,45,70,45,90,95,405,Run Away,Pickup,Volt Absorb,3.9,0.4,White,Field,Fairy,Electric,,
418,Buizel,55,65,35,60,30,85,330,Swift Swim,,Water Veil,29.5,0.7,Brown,Water 1,Field,Water,,
419,Floatzel,85,105,55,85,50,115,495,Swift Swim,,Water Veil,33.5,1.1,Brown,Water 1,Field,Water,,
420,Cherubi,45,35,45,62,53,35,275,Chlorophyll,,,3.3,0.4,Pink,Fairy,Grass,Grass,,
421,Cherrim (Overcast),70,60,70,87,78,85,450,Flower Gift,,,9.3,0.5,Purple,Fairy,Grass,Grass,,
421.1,Cherrim (Sunshine),70,60,70,87,78,85,450,Flower Gift,,,9.3,0.5,Pink,Fairy,Grass,Grass,,
422,Shellos (East),76,48,48,57,62,34,325,Sticky Hold,Storm Drain,Sand Force,6.3,0.3,Blue,Water 1,Amorphous,Water,,
422.1,Shellos (West),76,48,48,57,62,34,325,Sticky Hold,Storm Drain,Sand Force,6.3,0.3,Purple,Water 1,Amorphous,Water,,
423,Gastrodon (East),111,83,68,92,82,39,475,Sticky Hold,Storm Drain,Sand Force,29.9,0.9,Blue,Water 1,,Water,Ground,
423.1,Gastrodon (West),111,83,68,92,82,39,475,Sticky Hold,Storm Drain,Sand Force,29.9,0.9,Purple,Water 1,Amorphous,Water,Ground,
424,Ambipom,75,100,66,60,66,115,482,Technician,Pickup,Skill Link,20.3,1.2,Purple,Field,,Normal,,
425,Drifloon,90,50,34,60,44,70,348,Aftermath,Unburden,Flare Boost,1.2,0.4,Purple,Amorphous,,Ghost,Flying,
426,Drifblim,150,80,44,90,54,80,498,Aftermath,Unburden,Flare Boost,15,1.2,Purple,Amorphous,,Ghost,Flying,
427,Buneary,55,66,44,44,56,85,350,Run Away,Klutz,Limber,5.5,0.4,Brown,Field,Human-Like,Normal,,
428,Lopunny,65,76,84,54,96,105,480,Cute Charm,Klutz,Limber,33.3,1.2,Brown,Field,Human-Like,Normal,,
428.1,Lopunny (Mega),65,136,94,54,96,135,580,Scrappy,,,28.3,1.3,Brown,Field,Human-Like,Normal,Fighting,
429,Mismagius,60,60,60,105,105,105,495,Levitate,,,4.4,0.9,Purple,Amorphous,,Ghost,,
430,Honchkrow,100,125,52,105,52,71,505,Insomnia,Super Luck,Moxie,27.3,0.9,Black,Flying,,Dark,Flying,
431,Glameow,49,55,42,42,37,85,310,Limber,Own Tempo,Keen Eye,3.9,0.5,Gray,Field,,Normal,,
432,Purugly,71,82,64,64,59,112,452,Thick Fat,Own Tempo,Defiant,43.8,1,Gray,Field,,Normal,,
433,Chingling,45,30,50,65,50,45,285,Levitate,,,0.6,0.2,Yellow,Undiscovered,,Psychic,,
434,Stunky,63,63,47,41,41,74,329,Stench,Aftermath,Keen Eye,19.2,0.4,Purple,Field,,Poison,Dark,
435,Skuntank,103,93,67,71,61,84,479,Stench,Aftermath,Keen Eye,38,1,Purple,Field,,Poison,Dark,
436,Bronzor,57,24,86,24,86,23,300,Levitate,Heatproof,Heavy Metal,60.5,0.5,Green,Mineral,,Steel,Psychic,
437,Bronzong,67,89,116,79,116,33,500,Levitate,Heatproof,Heavy Metal,187,1.3,Green,Mineral,,Steel,Psychic,
438,Bonsly,50,80,95,10,45,10,290,Sturdy,Rock Head,Rattled,15,0.5,Brown,Undiscovered,,Rock,,
439,Mime Jr.,20,25,45,70,90,60,310,Soundproof,Filter,Technician,13,0.6,Pink,Undiscovered,,Psychic,Fairy,
440,Happiny,100,5,5,15,65,30,220,Natural Cure,Serene Grace,Friend Guard,24.4,0.6,Pink,Undiscovered,,Normal,,
441,Chatot,76,65,45,92,42,91,411,Keen Eye,Tangled Feet,Big Pecks,1.9,0.5,Black,Flying,,Normal,Flying,
442,Spiritomb,50,92,108,92,108,35,485,Pressure,,Infiltrator,108,1,Purple,Amorphous,,Ghost,Dark,
443,Gible,58,70,45,40,45,42,300,Sand Veil,,Rough Skin,20.5,0.7,Blue,Monster,Dragon,Dragon,Ground,
444,Gabite,68,90,65,50,55,82,410,Sand Veil,,Rough Skin,56,1.4,Blue,Monster,Dragon,Dragon,Ground,
445,Garchomp,108,130,95,80,85,102,600,Sand Veil,,Rough Skin,95,1.9,Blue,Monster,Dragon,Dragon,Ground,
445.1,Garchomp (Mega),108,170,115,120,95,92,700,Sand Force,,,95,1.9,Blue,Monster,Dragon,Dragon,Ground,
446,Munchlax,135,85,40,40,85,5,390,Pickup,Thick Fat,Gluttony,105,0.6,Black,Undiscovered,,Normal,,
447,Riolu,40,70,40,35,40,60,285,Steadfast,Inner Focus,Prankster,20.2,0.7,Blue,Undiscovered,,Fighting,,
448,Lucario,70,110,70,115,70,90,525,Steadfast,Inner Focus,Justified,54,1.2,Blue,Field,Human-Like,Fighting,Steel,
448.1,Lucario (Mega),70,145,88,140,70,112,625,Adaptability,,,57.5,1.3,Blue,Field,Human-Like,Fighting,Steel,
449,Hippopotas,68,72,78,38,42,32,330,Sand Stream,,Sand Force,49.5,0.8,Brown,Field,,Ground,,
450,Hippowdon,108,112,118,68,72,47,525,Sand Stream,,Sand Force,300,2,Brown,Field,,Ground,,
451,Skorupi,40,50,90,30,55,65,330,Battle Armor,Sniper,Keen Eye,12,0.8,Purple,Bug,Water 3,Poison,Bug,
452,Drapion,70,90,110,60,75,95,500,Battle Armor,Sniper,Keen Eye,61.5,1.3,Purple,Bug,Water 3,Poison,Dark,
453,Croagunk,48,61,40,61,40,50,300,Anticipation,Dry Skin,Poison Touch,23,0.7,Blue,Human-Like,,Poison,Fighting,
454,Toxicroak,83,106,65,86,65,85,490,Anticipation,Dry Skin,Poison Touch,44.4,1.3,Blue,Human-Like,,Poison,Fighting,
455,Carnivine,74,100,72,90,72,46,454,Levitate,,,27,1.4,Green,Grass,,Grass,,
456,Finneon,49,49,56,49,61,66,330,Swift Swim,Storm Drain,Water Veil,7,0.4,Blue,Water 2,,Water,,
457,Lumineon,69,69,76,69,86,91,460,Swift Swim,Storm Drain,Water Veil,24,1.2,Blue,Water 2,,Water,,
458,Mantyke,45,20,50,60,120,50,345,Swift Swim,Water Absorb,,65,1,Blue,Undiscovered,,Water,Flying,
459,Snover,60,62,50,62,60,40,334,Snow Warning,,Soundproof,50.5,1,White,Monster,Grass,Grass,Ice,
460,Abomasnow,90,92,75,92,85,60,494,Snow Warning,,Soundproof,135.5,2.2,White,Monster,Grass,Grass,Ice,
460.1,Abomasnow (Mega),90,132,105,132,105,30,594,Snow Warning,,,185,2.7,White,Monster,Grass,Grass,Ice,
461,Weavile,70,120,65,45,85,125,510,Pressure,,Pickpocket,34,1.1,Black,Field,,Dark,Ice,
462,Magnezone,70,70,115,130,90,60,535,Magnet Pull,Sturdy,Analytic,180,1.2,Gray,Mineral,,Electric,Steel,
463,Lickilicky,110,85,95,80,95,50,515,Own Tempo,Oblivious,Cloud Nine,140,1.7,Pink,Monster,,Normal,,
464,Rhyperior,115,140,130,55,55,40,535,Lightningrod,Solid Rock,Reckless,282.8,2.4,Gray,Monster,Field,Ground,Rock,
465,Tangrowth,100,100,125,110,50,50,535,Chlorophyll,Leaf Guard,Regenerator,128.6,2,Blue,Grass,,Grass,,
466,Electivire,75,123,67,95,85,95,540,Motor Drive,,Vital Spirit,138.6,1.8,Yellow,Human-Like,,Electric,,
467,Magmortar,75,95,67,125,95,83,540,Flame Body,,Vital Spirit,68,1.6,Red,Human-Like,,Fire,,
468,Togekiss,85,50,95,120,115,80,545,Hustle,Serene Grace,Super Luck,38,1.5,White,Flying,Fairy,Fairy,Flying,
469,Yanmega,86,76,86,116,56,95,515,Speed Boost,Tinted Lens,Frisk,51.5,1.9,Green,Bug,,Bug,Flying,
470,Leafeon,65,110,130,60,65,95,525,Leaf Guard,,Chlorophyll,25.5,1,Green,Field,,Grass,,
471,Glaceon,65,60,110,130,95,65,525,Snow Cloak,,Ice Body,25.9,0.8,Blue,Field,,Ice,,
472,Gliscor,75,95,125,45,75,95,510,Hyper Cutter,Sand Veil,Poison Heal,42.5,2,Purple,Bug,,Ground,Flying,
473,Mamoswine,110,130,80,70,60,80,530,Oblivious,Snow Cloak,Thick Fat,291,2.5,Brown,Field,,Ice,Ground,
474,Porygon-Z,85,80,70,135,75,90,535,Adaptability,Download,Analytic,34,0.9,Red,Mineral,,Normal,,
475,Gallade,68,125,65,65,115,80,518,Steadfast,Sharpness,Justified,52,1.6,White,Amorphous,,Psychic,Fighting,
475.1,Gallade (Mega),68,165,95,65,115,110,618,Inner Focus,,,56.4,1.6,White,Amorphous,,Psychic,Fighting,
476,Probopass,60,55,145,75,150,40,525,Sturdy,Magnet Pull,Sand Force,340,1.4,Gray,Mineral,,Rock,Steel,
477,Dusknoir,45,100,135,65,135,45,525,Pressure,,,106.6,2.2,Black,Amorphous,,Ghost,,
478,Froslass,70,80,70,80,70,110,480,Snow Cloak,,Cursed Body,26.6,1.3,White,Fairy,Mineral,Ice,Ghost,
479,Rotom,50,50,77,95,77,91,440,Levitate,,,0.3,0.3,Red,Amorphous,,Electric,Ghost,
479.1,Rotom (Heat),50,65,107,105,107,86,520,Levitate,,,0.3,0.3,Red,Amorphous,,Electric,Fire,
479.2,Rotom (Wash),50,65,107,105,107,86,520,Levitate,,,0.3,0.3,Red,Amorphous,,Electric,Water,
479.3,Rotom (Frost),50,65,107,105,107,86,520,Levitate,,,0.3,0.3,Red,Amorphous,,Electric,Ice,
479.4,Rotom (Fan),50,65,107,105,107,86,520,Levitate,,,0.3,0.3,Red,Amorphous,,Electric,Flying,
479.5,Rotom (Mow),50,65,107,105,107,86,520,Levitate,,,0.3,0.3,Red,Amorphous,,Electric,Grass,
480,Uxie,75,75,130,75,130,95,580,Levitate,,,0.3,0.3,Yellow,Undiscovered,,Psychic,,
481,Mesprit,80,105,105,105,105,80,580,Levitate,,,0.3,0.3,Pink,Undiscovered,,Psychic,,
482,Azelf,75,125,70,125,70,115,580,Levitate,,,0.3,0.3,Blue,Undiscovered,,Psychic,,
483,Dialga (Altered),100,120,120,150,100,90,680,Pressure,,Telepathy,683,5.4,White,Undiscovered,,Steel,Dragon,
483.1,Dialga (Origin),100,100,120,150,120,90,680,Pressure,,Telepathy,850,7,White,Undiscovered,,Steel,Dragon,
484,Palkia (Altered),90,120,100,150,120,100,680,Pressure,,Telepathy,336,4.2,Purple,Undiscovered,,Water,Dragon,
484.1,Palkia (Origin),90,100,100,150,120,120,680,Pressure,,Telepathy,660,6.3,Purple,Undiscovered,,Water,Dragon,
485,Heatran,91,90,106,130,106,77,600,Flash Fire,,Flame Body,430,1.7,Brown,Undiscovered,,Fire,Steel,
486,Regigigas,110,160,110,80,110,100,670,Slow Start,,,420,3.7,White,Undiscovered,,Normal,,
487,Giratina (Altered),150,100,120,100,120,90,680,Pressure,,Telepathy,750,4.5,Black,Undiscovered,,Ghost,Dragon,
487.1,Giratina (Origin),150,120,100,120,100,90,680,Levitate,,,650,6.9,Black,Undiscovered,,Ghost,Dragon,
488,Cresselia,120,70,110,75,120,85,580,Levitate,,,85.6,1.5,Yellow,Undiscovered,,Psychic,,
489,Phione,80,80,80,80,80,80,480,Hydration,,,3.1,0.4,Blue,Water 1,Fairy,Water,,
490,Manaphy,100,100,100,100,100,100,600,Hydration,,,1.4,0.3,Blue,Water 1,Fairy,Water,,
491,Darkrai,70,90,90,135,90,125,600,Bad Dreams,,,50.5,1.5,Black,Undiscovered,,Dark,,
492,Shaymin (Land),100,100,100,100,100,100,600,Natural Cure,,,2.1,0.2,Green,Undiscovered,,Grass,,
492.1,Shaymin (Sky),100,103,75,120,75,127,600,Serene Grace,,,5.2,0.4,Green,Undiscovered,,Grass,Flying,
493,Arceus,120,120,120,120,120,120,720,Multitype,,,320,3.2,White,Undiscovered,,Normal,,
494,Victini,100,100,100,100,100,100,600,Victory Star,,,4,0.4,Yellow,Undiscovered,,Psychic,Fire,
495,Snivy,45,45,55,45,55,63,308,Overgrow,,Contrary,8.1,0.6,Green,Field,Grass,Grass,,
496,Servine,60,60,75,60,75,83,413,Overgrow,,Contrary,16,0.8,Green,Field,Grass,Grass,,
497,Serperior,75,75,95,75,95,113,528,Overgrow,,Contrary,63,3.3,Green,Field,Grass,Grass,,
498,Tepig,65,63,45,45,45,45,308,Blaze,,Thick Fat,9.9,0.5,Red,Field,,Fire,,
499,Pignite,90,93,55,70,55,55,418,Blaze,,Thick Fat,55.5,1,Red,Field,,Fire,Fighting,
500,Emboar,110,123,65,100,65,65,528,Blaze,,Reckless,150,1.6,Red,Field,,Fire,Fighting,
501,Oshawott,55,55,45,63,45,45,308,Torrent,,Shell Armor,5.9,0.5,Blue,Field,,Water,,
502,Dewott,75,75,60,83,60,60,413,Torrent,,Shell Armor,24.5,0.8,Blue,Field,,Water,,
503,Samurott,95,100,85,108,70,70,528,Torrent,,Shell Armor,94.6,1.5,Blue,Field,,Water,,
503.1,Samurott (Hisuian),90,108,80,100,65,85,528,Torrent,,Sharpness,58.2,1.5,Blue,Field,,Water,Dark,
504,Patrat,45,55,39,35,39,42,255,Run Away,Keen Eye,Analytic,11.6,0.5,Brown,Field,,Normal,,
505,Watchog,60,85,69,60,69,77,420,Illuminate,Keen Eye,Analytic,27,1.1,Brown,Field,,Normal,,
506,Lillipup,45,60,45,25,45,55,275,Vital Spirit,Pickup,Run Away,4.1,0.4,Brown,Field,,Normal,,
507,Herdier,65,80,65,35,65,60,370,Intimidate,Sand Rush,Scrappy,14.7,0.9,Gray,Field,,Normal,,
508,Stoutland,85,110,90,45,90,80,500,Intimidate,Sand Rush,Scrappy,61,1.2,Gray,Field,,Normal,,
509,Purrloin,41,50,37,50,37,66,281,Limber,Unburden,Prankster,10.1,0.4,Purple,Field,,Dark,,
510,Liepard,64,88,50,88,50,106,446,Limber,Unburden,Prankster,37.5,1.1,Purple,Field,,Dark,,
511,Pansage,50,53,48,53,48,64,316,Gluttony,,Overgrow,10.5,0.6,Green,Field,,Grass,,
512,Simisage,75,98,63,98,63,101,498,Gluttony,,Overgrow,30.5,1.1,Green,Field,,Grass,,
513,Pansear,50,53,48,53,48,64,316,Gluttony,,Blaze,11,0.6,Red,Field,,Fire,,
514,Simisear,75,98,63,98,63,101,498,Gluttony,,Blaze,28,1,Red,Field,,Fire,,
515,Panpour,50,53,48,53,48,64,316,Gluttony,,Torrent,13.5,0.6,Blue,Field,,Water,,
516,Simipour,75,98,63,98,63,101,498,Gluttony,,Torrent,29,1,Blue,Field,,Water,,
517,Munna,76,25,45,67,55,24,292,Forewarn,Synchronize,Telepathy,23.3,0.6,Pink,Field,,Psychic,,
518,Musharna,116,55,85,107,95,29,487,Forewarn,Synchronize,Telepathy,60.5,1.1,Pink,Field,,Psychic,,
519,Pidove,50,55,50,36,30,43,264,Big Pecks,Super Luck,Rivalry,2.1,0.3,Gray,Flying,,Normal,Flying,
520,Tranquill,62,77,62,50,42,65,358,Big Pecks,Super Luck,Rivalry,15,0.6,Gray,Flying,,Normal,Flying,
521,Unfezant,80,115,80,65,55,93,488,Big Pecks,Super Luck,Rivalry,29,1.2,Gray,Flying,,Normal,Flying,
522,Blitzle,45,60,32,50,32,76,295,Lightningrod,Motor Drive,Sap Sipper,29.8,0.8,Black,Field,,Electric,,
523,Zebstrika,75,100,63,80,63,116,497,Lightningrod,Motor Drive,Sap Sipper,79.5,1.6,Black,Field,,Electric,,
524,Roggenrola,55,75,85,25,25,15,280,Sturdy,Weak Armor,Sand Force,18,0.4,Blue,Mineral,,Rock,,
525,Boldore,70,105,105,50,40,20,390,Sturdy,Weak Armor,Sand Force,102,0.9,Blue,Mineral,,Rock,,
526,Gigalith,85,135,130,60,80,25,515,Sturdy,Sand Stream,Sand Force,260,1.7,Blue,Mineral,,Rock,,
527,Woobat,65,45,43,55,43,72,323,Unaware,Klutz,Simple,2.1,0.4,Blue,Field,Flying,Psychic,Flying,
528,Swoobat,67,57,55,77,55,114,425,Unaware,Klutz,Simple,10.5,0.9,Blue,Field,Flying,Psychic,Flying,
529,Drilbur,60,85,40,30,45,68,328,Sand Rush,Sand Force,Mold Breaker,8.5,0.3,Gray,Field,,Ground,,
530,Excadrill,110,135,60,50,65,88,508,Sand Rush,Sand Force,Mold Breaker,40.4,0.7,Gray,Field,,Ground,Steel,
531,Audino,103,60,86,60,86,50,445,Healer,Regenerator,Klutz,31,1.1,Pink,Fairy,,Normal,,
531.1,Audino (Mega),103,60,126,80,126,50,545,Healer,,,32,1.5,White,Fairy,,Normal,Fairy,
532,Timburr,75,80,55,25,35,35,305,Guts,Sheer Force,Iron Fist,12.5,0.6,Gray,Human-Like,,Fighting,,
533,Gurdurr,85,105,85,40,50,40,405,Guts,Sheer Force,Iron Fist,40,1.2,Gray,Human-Like,,Fighting,,
534,Conkeldurr,105,140,95,55,65,45,505,Guts,Sheer Force,Iron Fist,87,1.4,Brown,Human-Like,,Fighting,,
535,Tympole,50,50,40,50,40,64,294,Swift Swim,Hydration,Water Absorb,4.5,0.5,Blue,Water 1,,Water,,
536,Palpitoad,75,65,55,65,55,69,384,Swift Swim,Hydration,Water Absorb,17,0.8,Blue,Water 1,,Water,Ground,
537,Seismitoad,105,95,75,85,75,74,509,Swift Swim,Poison Touch,Water Absorb,62,1.5,Blue,Water 1,,Water,Ground,
